episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-13116.318462695588,-0.37432415704039923,-2736.7368435132867,-0.07810322041989973,-10379.581619182301,-0.2962209366204995,-54734736.87026573,-1562.0644083979946,-20759.163238364603,-0.592441873240999,54734736.87026573,1562.0644083979946,20759.163238364603,0.592441873240999,49.775976712993355,35041,8760.125
2,-13192.511780410141,-0.3764986238701524,-2827.3328842817605,-0.0806887238664886,-10365.178896128382,-0.29580990000366386,-56546657.6856352,-1613.7744773297718,-20730.357792256764,-0.5916198000073277,56546657.6856352,1613.7744773297718,20730.357792256764,0.5916198000073277,49.952912302731086,35041,8760.083333333334
3,-13155.886502897609,-0.3754533819320094,-2757.677249872297,-0.07870083475662948,-10398.209253025314,-0.29675254717537997,-55153544.99744593,-1574.0166951325893,-20796.418506050628,-0.5935050943507599,55153544.99744593,1574.0166951325893,20796.418506050628,0.5935050943507599,50.058502896606825,35041,8760.05
4,-13365.988752786427,-0.3814494507073752,-2835.2907969042403,-0.08091583324498403,-10530.697955882186,-0.30053361746239116,-56705815.9380848,-1618.3166648996805,-21061.39591176437,-0.6010672349247823,56705815.9380848,1618.3166648996805,21061.39591176437,0.6010672349247823,50.435204474758144,35041,8760.03125
5,-13245.693399025287,-0.378016364127434,-2816.4301371489655,-0.08037757240721934,-10429.263261876322,-0.2976387917202147,-56328602.74297931,-1607.5514481443868,-20858.526523752644,-0.5952775834404294,56328602.74297931,1607.5514481443868,20858.526523752644,0.5952775834404294,50.14982449131018,35041,8760.0625
6,-13061.75460531676,-0.37276696932981623,-2795.5578235038843,-0.07978190135570445,-10266.196781812874,-0.2929850679741117,-55911156.4700777,-1595.6380271140897,-20532.39356362575,-0.5859701359482234,55911156.4700777,1595.6380271140897,20532.39356362575,0.5859701359482234,49.99571930024828,35041,8760.0625
7,-13160.611125645424,-0.37558821705609086,-2807.269328510477,-0.08011613380452275,-10353.341797134948,-0.29547208325156815,-56145386.57020953,-1602.3226760904547,-20706.683594269896,-0.5909441665031363,56145386.57020953,1602.3226760904547,20706.683594269896,0.5909441665031363,50.01854969892412,35041,8760.041666666666
8,-13157.572686009049,-0.37550150359614864,-2786.128448928881,-0.07951279820002514,-10371.44423708017,-0.29598870539612354,-55722568.978577614,-1590.2559640005027,-20742.88847416034,-0.5919774107922471,55722568.978577614,1590.2559640005027,20742.88847416034,0.5919774107922471,49.99001170057932,35041,8760.05
9,-13149.834182978393,-0.3752806559069176,-2813.225860142791,-0.0802861261456276,-10336.608322835602,-0.29499452976129004,-56264517.20285583,-1605.7225229125522,-20673.216645671204,-0.5899890595225801,56264517.20285583,1605.7225229125522,20673.216645671204,0.5899890595225801,50.15838589081362,35041,8760.0625
10,-13185.370580004757,-0.37629482248872026,-2786.529976709767,-0.07952425732619199,-10398.84060329499,-0.29677056516252825,-55730599.53419533,-1590.4851465238394,-20797.68120658998,-0.5935411303250565,55730599.53419533,1590.4851465238394,20797.68120658998,0.5935411303250565,50.11272509346194,35041,8760.125
