episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-127814.71308042707,-3.6983423923734686,0.0,0.0,-127814.71308042707,-3.6983423923734686,-22030018.95514252,-637.4426781001887,-127814.71308042707,-3.6983423923734686,22030018.95514252,637.4426781001887,29552.93963241577,0.855119781030549,72.37348456352535,34561,2880.0
2,-132005.8984397403,-3.8196151168906334,0.0,0.0,-132005.8984397403,-3.8196151168906334,-22731694.23042666,-657.745782130401,-132005.8984397403,-3.8196151168906334,22731694.23042666,657.745782130401,30373.47659111023,0.8788621698816618,71.95972338763346,34561,2880.0
3,-123561.95326759848,-3.57528799964116,0.0,0.0,-123561.95326759848,-3.57528799964116,-22541921.202043086,-652.254664410969,-123561.95326759848,-3.57528799964116,22541921.202043086,652.254664410969,28570.953689575195,0.8267058359252082,69.2022800266196,34561,2880.0
4,-130380.59692436276,-3.7725867165614226,0.0,0.0,-130380.59692436276,-3.7725867165614226,-22792949.796831455,-659.5182232879472,-130380.59692436276,-3.7725867165614226,22792949.796831455,659.5182232879472,31147.895141601562,0.9012701140509711,73.39486704667111,34561,2880.0
5,-134090.48575756655,-3.8799330369666247,0.0,0.0,-134090.48575756655,-3.8799330369666247,-22847189.406657353,-661.0876564426318,-134090.48575756655,-3.8799330369666247,22847189.406657353,661.0876564426318,31268.7711353302,0.9047676833139525,71.15824194901768,34561,2880.0
6,-126437.1879622775,-3.6584834479825665,0.0,0.0,-126437.1879622775,-3.6584834479825665,-22562836.26828483,-652.8598457258342,-126437.1879622775,-3.6584834479825665,22562836.26828483,652.8598457258342,29322.753805160522,0.8484593114919132,71.36367581956542,34561,2880.0
7,-146675.8555909162,-4.244093043718641,0.0,0.0,-146675.8555909162,-4.244093043718641,-22342122.401095733,-646.4734491057793,-146675.8555909162,-4.244093043718641,22342122.401095733,646.4734491057793,32261.323303222656,0.9334873640978778,70.90072625213391,34561,2880.0
8,-134252.57762985662,-3.884623195308351,0.0,0.0,-134252.57762985662,-3.884623195308351,-22649027.74183622,-655.3538119744277,-134252.57762985662,-3.884623195308351,22649027.74183622,655.3538119744277,30788.752212524414,0.890878246890174,73.45852261219294,34561,2880.0
9,-132966.4355815631,-3.847408436966525,0.0,0.0,-132966.4355815631,-3.847408436966525,-22608254.540669292,-654.1740318480698,-132966.4355815631,-3.847408436966525,22608254.540669292,654.1740318480698,30436.396493911743,0.8806827689210573,70.8631115997801,34561,2880.0
10,-129563.57384685238,-3.74894600251309,0.0,0.0,-129563.57384685238,-3.74894600251309,-22354609.037855975,-646.8347522527771,-129563.57384685238,-3.74894600251309,22354609.037855975,646.8347522527771,30303.72338294983,0.8768438478862798,70.0298023784034,34561,2880.0
