episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-103848.87758929493,-3.0048865043198765,0.0,0.0,-103848.87758929493,-3.0048865043198765,-21379980.22762467,-618.6336871419176,-103848.87758929493,-3.0048865043198765,21379980.22762467,618.6336871419176,24954.138370513916,0.7220526148875555,65.0039061369752,34561,2880.0
2,-103231.60344943184,-2.9870255627729123,0.0,0.0,-103231.60344943184,-2.9870255627729123,-21776487.91853522,-630.1067106057645,-103231.60344943184,-2.9870255627729123,21776487.91853522,630.1067106057645,24690.953170776367,0.7144373023951495,62.79042851769335,34561,2880.0
3,-98206.7665418384,-2.8416309763263428,0.0,0.0,-98206.7665418384,-2.8416309763263428,-21625987.16911696,-625.751943550838,-98206.7665418384,-2.8416309763263428,21625987.16911696,625.751943550838,23536.307691574097,0.6810274216311949,64.41364543850004,34561,2880.0
4,-98020.38801437148,-2.836238079119545,0.0,0.0,-98020.38801437148,-2.836238079119545,-22071776.300875664,-638.6509346318189,-98020.38801437148,-2.836238079119545,22071776.300875664,638.6509346318189,23766.18354034424,0.6876789218849606,64.94893087584272,34561,2880.0
5,-109411.89477678343,-3.1658534368282245,0.0,0.0,-109411.89477678343,-3.1658534368282245,-21963748.01429062,-635.5251161542425,-109411.89477678343,-3.1658534368282245,21963748.01429062,635.5251161542425,26264.71684741974,0.7599744458165434,64.6393333526229,34561,2880.0
6,-104443.75538586611,-3.0220994035262185,0.0,0.0,-104443.75538586611,-3.0220994035262185,-21497029.448821645,-622.0205280330338,-104443.75538586611,-3.0220994035262185,21497029.448821645,622.0205280330338,24842.384260177612,0.7188189890097689,64.2197853071381,34561,2880.0
7,-115968.28019351787,-3.355563663006883,0.0,0.0,-115968.28019351787,-3.355563663006883,-21599026.482725214,-624.9718310973731,-115968.28019351787,-3.355563663006883,21599026.482725214,624.9718310973731,26225.080421447754,0.7588275584909651,63.09134573652383,34561,2880.0
8,-107029.92641004043,-3.096930741031262,0.0,0.0,-107029.92641004043,-3.096930741031262,-21784473.151980165,-630.3377648142409,-107029.92641004043,-3.096930741031262,21784473.151980165,630.3377648142409,25470.529542922974,0.7369944890892064,65.7070107925118,34561,2880.0
9,-110259.166171195,-3.190369391527633,0.0,0.0,-110259.166171195,-3.190369391527633,-21823798.26550629,-631.4756442565478,-110259.166171195,-3.190369391527633,21823798.26550629,631.4756442565478,26045.69331932068,0.7536369594710844,64.6885217441625,34561,2880.0
10,-99576.01847209995,-2.881250534493633,0.0,0.0,-99576.01847209995,-2.881250534493633,-21520846.94387688,-622.7096916631042,-99576.01847209995,-2.881250534493633,21520846.94387688,622.7096916631042,24225.090621948242,0.7009574832739653,65.10517635485084,34561,2880.0
