episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-15814.357052992262,-0.45132297525662846,-5185.244419356433,-0.14798071973049182,-10629.11263363583,-0.3033422555261367,-103704888.38712868,-2959.614394609837,-21258.22526727166,-0.6066845110522734,103704888.38712868,2959.614394609837,21258.22526727166,0.6066845110522734,32.89860449188094,35041,8760.03125
2,-15746.06369070159,-0.4493739637757303,-5236.981683044251,-0.1494572398129067,-10509.082007657338,-0.2999167239628236,-104739633.66088504,-2989.1447962581346,-21018.164015314676,-0.5998334479256472,104739633.66088504,2989.1447962581346,21018.164015314676,0.5998334479256472,32.61893210810194,35041,8760.05
3,-15777.795379759604,-0.4502795485091211,-5215.566808690284,-0.14884608472289623,-10562.228571069318,-0.3014334637862248,-104311336.17380567,-2976.9216944579243,-21124.457142138635,-0.6028669275724496,104311336.17380567,2976.9216944579243,21124.457142138635,0.6028669275724496,32.744499300819044,35041,8760.035714285714
4,-15859.065698125596,-0.45259890690997706,-5252.597747153804,-0.14990290374297388,-10606.46795097179,-0.3026960031670031,-105051954.9430761,-2998.058074859478,-21212.93590194358,-0.6053920063340062,105051954.9430761,2998.058074859478,21212.93590194358,0.6053920063340062,32.78445249850176,35041,8760.0625
5,-15909.430990892715,-0.45403627257113915,-5248.421311445581,-0.14978371322618667,-10661.009679447136,-0.3042525593449525,-104968426.22891164,-2995.674264523734,-21322.01935889427,-0.608505118689905,104968426.22891164,2995.674264523734,21322.01935889427,0.608505118689905,32.84723609486031,35041,8760.041666666666
6,-15803.967607714934,-0.4510264728229148,-5225.387718849741,-0.1491263618393191,-10578.579888865193,-0.3019001109835957,-104507754.37699482,-2982.5272367863818,-21157.159777730387,-0.6038002219671914,104507754.37699482,2982.5272367863818,21157.159777730387,0.6038002219671914,32.38777432150909,35041,8760.0625
7,-15784.765847455852,-0.4504784773817309,-5219.4281878601305,-0.1489562839001179,-10565.337659595722,-0.3015221934816131,-104388563.7572026,-2979.1256780023573,-21130.675319191443,-0.6030443869632262,104388563.7572026,2979.1256780023573,21130.675319191443,0.6030443869632262,32.80442909734311,35041,8760.041666666666
8,-15820.836562876259,-0.45150789277614894,-5212.9617264872195,-0.14877173876961242,-10607.874836389039,-0.30273615400653653,-104259234.5297444,-2975.434775392249,-21215.749672778078,-0.6054723080130731,104259234.5297444,2975.434775392249,21215.749672778078,0.6054723080130731,32.55614851174339,35041,8760.0625
9,-15683.656289270517,-0.4475929306298663,-5245.079803927643,-0.14968835056871127,-10438.576485342874,-0.29790458006115506,-104901596.07855287,-2993.7670113742256,-20877.152970685747,-0.5958091601223101,104901596.07855287,2993.7670113742256,20877.152970685747,0.5958091601223101,32.43058131902629,35041,8760.05
10,-15642.308882574358,-0.44641292473100336,-5221.348658022999,-0.1490110918385559,-10420.96022455136,-0.2974018328924475,-104426973.16046,-2980.2218367711184,-20841.92044910272,-0.594803665784895,104426973.16046,2980.2218367711184,20841.92044910272,0.594803665784895,32.19656973259896,35041,8760.035714285714
