episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-14409.399022827807,-0.4112271410624374,-2606.0647362136874,-0.07437399361340433,-11803.33428661412,-0.3368531474490331,-52121294.72427375,-1487.4798722680864,-23606.66857322824,-0.6737062948980662,52121294.72427375,1487.4798722680864,23606.66857322824,0.6737062948980662,49.248023743614624,35041,8760.0
2,-14463.184119995072,-0.41276210388113793,-2701.7116242109064,-0.07710364224346195,-11761.472495784166,-0.335658461637676,-54034232.48421814,-1542.0728448692391,-23522.944991568333,-0.671316923275352,54034232.48421814,1542.0728448692391,23522.944991568333,0.671316923275352,48.95408236066323,35041,8760.041666666666
3,-14464.967349647282,-0.4128129951383357,-2698.9689040834587,-0.07702536826722199,-11765.998445563822,-0.33578762687111363,-53979378.081669174,-1540.50736534444,-23531.996891127645,-0.6715752537422273,53979378.081669174,1540.50736534444,23531.996891127645,0.6715752537422273,49.019719756856254,35041,8760.0
4,-14543.341642239096,-0.4150497044018007,-2719.9199915300974,-0.07762328742951191,-11823.421650708995,-0.33742641697228865,-54398399.83060195,-1552.4657485902385,-23646.84330141799,-0.6748528339445773,54398399.83060195,1552.4657485902385,23646.84330141799,0.6748528339445773,49.242316143945665,35041,8760.0
5,-14404.354322318359,-0.41108317129903993,-2800.117212675939,-0.07991202090970145,-11604.23710964242,-0.3311711503893385,-56002344.253518775,-1598.240418194029,-23208.47421928484,-0.662342300778677,56002344.253518775,1598.240418194029,23208.47421928484,0.662342300778677,48.734339773408294,35041,8760.0
6,-14395.536078753392,-0.41083150909684335,-2665.4944221338474,-0.07607004629377419,-11730.041656619542,-0.3347614628030691,-53309888.44267694,-1521.4009258754834,-23460.083313239084,-0.6695229256061382,53309888.44267694,1521.4009258754834,23460.083313239084,0.6695229256061382,49.17097114808367,35041,8760.0
7,-14518.853710919637,-0.4143508479143732,-2640.3514280472928,-0.07535249509267387,-11878.502282872349,-0.33899835282169943,-52807028.56094585,-1507.0499018534776,-23757.004565744697,-0.6779967056433989,52807028.56094585,1507.0499018534776,23757.004565744697,0.6779967056433989,49.450643531862674,35041,8760.0
8,-14307.315682706445,-0.40831380373020676,-2732.796081293132,-0.077990755744667,-11574.519601413313,-0.33032304798553974,-54655921.62586263,-1559.8151148933398,-23149.039202826625,-0.6606460959710795,54655921.62586263,1559.8151148933398,23149.039202826625,0.6606460959710795,48.61448018036015,35041,8760.0
9,-14449.319417196402,-0.41236642172364163,-2640.862057490416,-0.07536706785075388,-11808.457359705986,-0.3369993538728877,-52817241.14980833,-1507.341357015078,-23616.914719411972,-0.6739987077457754,52817241.14980833,1507.341357015078,23616.914719411972,0.6739987077457754,49.404982734511,35041,8760.0
10,-14487.362851099311,-0.41345213616151,-2689.969839350377,-0.07676854564356098,-11797.393011748936,-0.3366835905179491,-53799396.78700753,-1535.3709128712196,-23594.786023497873,-0.6733671810358982,53799396.78700753,1535.3709128712196,23594.786023497873,0.6733671810358982,49.133871750235436,35041,8760.0
