episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-23457.129585594554,-0.669438629725872,-3043.371109155424,-0.08685419832064567,-20413.758476439132,-0.5825844314052264,-60867422.18310847,-1737.083966412913,-40827.516952878264,-1.1651688628104528,60867422.18310847,1737.083966412913,40827.516952878264,1.1651688628104528,57.34996147370224,35041,8760.0
2,-23416.398463259215,-0.6682762118510049,-3165.8490752402413,-0.09034957406507538,-20250.54938801898,-0.5779266377859298,-63316981.50480483,-1806.9914813015075,-40501.09877603796,-1.1558532755718596,63316981.50480483,1806.9914813015075,40501.09877603796,1.1558532755718596,57.06743529008875,35041,8760.083333333334
3,-23389.56123960864,-0.6675103093495617,-3056.0683434467123,-0.08721656231297695,-20333.492896161933,-0.5802937470365849,-61121366.86893423,-1744.3312462595386,-40666.98579232387,-1.1605874940731697,61121366.86893423,1744.3312462595386,40666.98579232387,1.1605874940731697,57.86649924374304,35041,8760.0
4,-23232.108872819623,-0.6630168057311536,-3171.5740278094145,-0.09051295741465223,-20060.534845010214,-0.5725038483165016,-63431480.556188285,-1810.2591482930447,-40121.06969002043,-1.1450076966330032,63431480.556188285,1810.2591482930447,40121.06969002043,1.1450076966330032,57.43557546873662,35041,8760.083333333334
5,-23146.1912419238,-0.6605648185480536,-3145.5942975316557,-0.0897715267560404,-20000.596944392146,-0.5707932917920133,-62911885.95063309,-1795.4305351208075,-40001.19388878429,-1.1415865835840266,62911885.95063309,1795.4305351208075,40001.19388878429,1.1415865835840266,57.15304928512314,35041,8760.0
6,-23164.8722282193,-0.6610979517185873,-3094.406317411384,-0.0883106825745258,-20070.465910807925,-0.5727872691440618,-61888126.34822767,-1766.2136514905158,-40140.93182161585,-1.1455745382881235,61888126.34822767,1766.2136514905158,40140.93182161585,1.1455745382881235,57.26720127850232,35041,8760.0
7,-23386.10283543831,-0.6674116106004083,-3111.4090513368037,-0.08879592041486312,-20274.69378410151,-0.5786156901855454,-62228181.026736066,-1775.9184082972622,-40549.38756820302,-1.1572313803710907,62228181.026736066,1775.9184082972622,40549.38756820302,1.1572313803710907,57.43272166890214,35041,8760.027777777777
8,-23325.40378900783,-0.6656793318780773,-3113.9450231885116,-0.08886829404076803,-20211.45876581932,-0.5768110378373094,-62278900.463770226,-1777.3658808153602,-40422.91753163864,-1.1536220756746187,62278900.463770226,1777.3658808153602,40422.91753163864,1.1536220756746187,57.061727690419794,35041,8760.0
9,-23387.119169747308,-0.6674406155749802,-3116.3942092826883,-0.08893819090418631,-20270.724960464624,-0.578502424670794,-62327884.18565377,-1778.7638180837262,-40541.44992092925,-1.157004849341588,62327884.18565377,1778.7638180837262,40541.44992092925,1.157004849341588,57.367084272709114,35041,8760.0
10,-23378.282387770392,-0.6671884243085158,-3067.795096955213,-0.08755122993593645,-20310.487290815177,-0.5796371943725792,-61355901.939104244,-1751.0245987187284,-40620.974581630355,-1.1592743887451584,61355901.939104244,1751.0245987187284,40620.974581630355,1.1592743887451584,57.815130846722404,35041,8760.0
