episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-14300.092094324526,-0.4081076510937365,-2580.4957270652167,-0.07364428444820824,-11719.596367259306,-0.33446336664552817,-51609914.541304335,-1472.8856889641647,-23439.192734518612,-0.6689267332910563,51609914.541304335,1472.8856889641647,23439.192734518612,0.6689267332910563,49.00259695784938,35041,8760.0625
2,-14518.4859946147,-0.4143403537275885,-2636.283755023848,-0.0752364085337856,-11882.202239590852,-0.3391039451938028,-52725675.10047696,-1504.7281706757124,-23764.404479181703,-0.6782078903876056,52725675.10047696,1504.7281706757124,23764.404479181703,0.6782078903876056,49.21377814560087,35041,8760.0
3,-14368.401318030654,-0.41005711524060084,-2604.3838219949293,-0.07432602231720689,-11764.017496035724,-0.3357310929233939,-52087676.43989859,-1486.5204463441378,-23528.034992071447,-0.6714621858467879,52087676.43989859,1486.5204463441378,23528.034992071447,0.6714621858467879,49.22804714477327,35041,8760.0625
4,-14615.952593140126,-0.41712193473573417,-2598.5603949169813,-0.07415982862205997,-12017.392198223144,-0.3429621061136742,-51971207.89833962,-1483.1965724411994,-24034.784396446288,-0.6859242122273485,51971207.89833962,1483.1965724411994,24034.784396446288,0.6859242122273485,49.807368511172626,35041,8760.0
5,-14470.364746115769,-0.41296703042567834,-2642.764646881017,-0.07542136549317971,-11827.60009923475,-0.3375456649324986,-52855292.93762034,-1508.4273098635942,-23655.2001984695,-0.6750913298649972,52855292.93762034,1508.4273098635942,23655.2001984695,0.6750913298649972,49.25373134328358,35041,8760.03125
6,-14362.89022947348,-0.409899835316024,-2581.394902270726,-0.07366994584105953,-11781.495327202749,-0.3362298894749643,-51627898.045414515,-1473.3989168211906,-23562.990654405497,-0.6724597789499286,51627898.045414515,1473.3989168211906,23562.990654405497,0.6724597789499286,49.57050312491082,35041,8760.0
7,-14552.697149944885,-0.41531669948472844,-2568.207171740889,-0.07329358366840437,-11984.489978203994,-0.342023115816324,-51364143.43481779,-1465.8716733680876,-23968.979956407988,-0.684046231632648,51364143.43481779,1465.8716733680876,23968.979956407988,0.684046231632648,49.476327730372994,35041,8760.0625
8,-14472.919262134717,-0.41303993328010036,-2544.5234335861837,-0.07261767789914908,-11928.395828548535,-0.34042225538095133,-50890468.67172366,-1452.353557982981,-23856.79165709707,-0.6808445107619027,50890468.67172366,1452.353557982981,23856.79165709707,0.6808445107619027,49.69036271795896,35041,8760.0
9,-14508.905856472375,-0.4140669479586865,-2593.1123103514865,-0.07400434675660635,-11915.793546120889,-0.34006260120208015,-51862246.20702972,-1480.0869351321269,-23831.587092241778,-0.6801252024041603,51862246.20702972,1480.0869351321269,23831.587092241778,0.6801252024041603,49.3907137353386,35041,8760.0625
10,-14560.719242582187,-0.4155456404846514,-2520.6839174806246,-0.07193732641211828,-12040.035325101562,-0.34360831407253317,-50413678.34961249,-1438.7465282423655,-24080.070650203124,-0.6872166281450663,50413678.34961249,1438.7465282423655,24080.070650203124,0.6872166281450663,49.793099512000225,35041,8760.0
