episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-13799.070930585014,-0.39380910190025725,-3161.8825358471927,-0.09023637373993129,-10637.188394737823,-0.303572728160326,-63237650.71694386,-1804.7274747986262,-21274.376789475646,-0.607145456320652,63237650.71694386,1804.7274747986262,21274.376789475646,0.607145456320652,44.10547644188237,35041,8760.125
2,-13928.8456352562,-0.3975127179011473,-3198.3315845331217,-0.09127658631658453,-10730.514050723079,-0.30623613158456275,-63966631.69066244,-1825.5317263316908,-21461.028101446158,-0.6124722631691255,63966631.69066244,1825.5317263316908,21461.028101446158,0.6124722631691255,44.61630661225421,35041,8760.0
3,-13992.21193622551,-0.399321116901413,-3195.1976802889044,-0.09118714841007147,-10797.014255936607,-0.3081339684913415,-63903953.605778076,-1823.742968201429,-21594.028511873214,-0.616267936982683,63903953.605778076,1823.742968201429,21594.028511873214,0.616267936982683,44.70477440712308,35041,8760.041666666666
4,-14067.439143067353,-0.40146801207384,-3172.9184363476043,-0.09055132523823071,-10894.520706719752,-0.31091668683560936,-63458368.72695208,-1811.0265047646142,-21789.041413439503,-0.6218333736712187,63458368.72695208,1811.0265047646142,21789.041413439503,0.6218333736712187,44.96447019206073,35041,8760.083333333334
5,-14030.621671289504,-0.4004172851395406,-3182.81192696246,-0.09083367371468208,-10847.809744327045,-0.3095836114248586,-63656238.5392492,-1816.6734742936414,-21695.61948865409,-0.6191672228497171,63656238.5392492,1816.6734742936414,21695.61948865409,0.6191672228497171,44.998715790074485,35041,8760.083333333334
6,-14059.83469964097,-0.40125099028655736,-3189.7625404697337,-0.09103203597230976,-10870.072159171235,-0.31021895431424756,-63795250.80939467,-1820.640719446195,-21740.14431834247,-0.6204379086284951,63795250.80939467,1820.640719446195,21740.14431834247,0.6204379086284951,44.51356981821295,35041,8760.0625
7,-14010.370417863138,-0.3998393384093361,-3188.1686158281614,-0.0909865472553699,-10822.201802034977,-0.30885279115396624,-63763372.316563234,-1819.7309451073982,-21644.403604069954,-0.6177055823079325,63763372.316563234,1819.7309451073982,21644.403604069954,0.6177055823079325,44.89597899603322,35041,8760.083333333334
8,-13918.837356957078,-0.39722709352046454,-3190.760690827251,-0.09106052199849461,-10728.07666612983,-0.30616657152197,-63815213.81654501,-1821.210439969892,-21456.15333225966,-0.61233314304394,63815213.81654501,1821.210439969892,21456.15333225966,0.61233314304394,44.38514882566137,35041,8760.041666666666
9,-13921.170515273145,-0.39729367908884544,-3185.6655117931878,-0.09091511163793344,-10735.505003479959,-0.3063785674509121,-63713310.23586375,-1818.3022327586687,-21471.010006959918,-0.6127571349018242,63713310.23586375,1818.3022327586687,21471.010006959918,0.6127571349018242,44.49359321937159,35041,8760.125
10,-13955.939751519534,-0.3982859518127721,-3190.1719903213284,-0.09104372118496942,-10765.767761198207,-0.3072422306278027,-63803439.80642657,-1820.8744236993884,-21531.535522396414,-0.6144844612556054,63803439.80642657,1820.8744236993884,21531.535522396414,0.6144844612556054,44.313803829799376,35041,8760.083333333334
